data,Disease
fatigue  moodswings  weightloss  restlessness  sweating  diarrhoea  fastheartrate  excessivehunger  muscleweakness  irritability  abnormalmenstruation,Hyperthyroidism
fatigue  moodswings  weightloss  restlessness  sweating  diarrhoea  fastheartrate  excessivehunger  muscleweakness  irritability  abnormalmenstruation,Hyperthyroidism
moodswings  weightloss  restlessness  sweating  diarrhoea  fastheartrate  excessivehunger  muscleweakness  irritability  abnormalmenstruation,Hyperthyroidism
fatigue  weightloss  restlessness  sweating  diarrhoea  fastheartrate  excessivehunger  muscleweakness  irritability  abnormalmenstruation,Hyperthyroidism
fatigue  moodswings  restlessness  sweating  diarrhoea  fastheartrate  excessivehunger  muscleweakness  irritability  abnormalmenstruation,Hyperthyroidism
fatigue  moodswings  weightloss  sweating  diarrhoea  fastheartrate  excessivehunger  muscleweakness  irritability  abnormalmenstruation,Hyperthyroidism
fatigue  moodswings  weightloss  restlessness  diarrhoea  fastheartrate  excessivehunger  muscleweakness  irritability  abnormalmenstruation,Hyperthyroidism
fatigue  moodswings  weightloss  restlessness  sweating  fastheartrate  excessivehunger  muscleweakness  irritability  abnormalmenstruation,Hyperthyroidism
fatigue  moodswings  weightloss  restlessness  sweating  diarrhoea  excessivehunger  muscleweakness  irritability  abnormalmenstruation,Hyperthyroidism
fatigue  moodswings  weightloss  restlessness  sweating  diarrhoea  fastheartrate  muscleweakness  irritability  abnormalmenstruation,Hyperthyroidism
vomiting  fatigue  anxiety  sweating  headache  nausea  blurredanddistortedvision  excessivehunger  slurredspeech  irritability  palpitations,Hypoglycemia
vomiting  fatigue  anxiety  sweating  headache  nausea  blurredanddistortedvision  excessivehunger  dryingandtinglinglips  slurredspeech  irritability  palpitations,Hypoglycemia
vomiting  fatigue  anxiety  sweating  headache  nausea  blurredanddistortedvision  excessivehunger  dryingandtinglinglips  slurredspeech  irritability  palpitations,Hypoglycemia
fatigue  anxiety  sweating  headache  nausea  blurredanddistortedvision  excessivehunger  dryingandtinglinglips  slurredspeech  irritability  palpitations,Hypoglycemia
vomiting  anxiety  sweating  headache  nausea  blurredanddistortedvision  excessivehunger  dryingandtinglinglips  slurredspeech  irritability  palpitations,Hypoglycemia
vomiting  fatigue  sweating  headache  nausea  blurredanddistortedvision  excessivehunger  dryingandtinglinglips  slurredspeech  irritability  palpitations,Hypoglycemia
vomiting  fatigue  anxiety  headache  nausea  blurredanddistortedvision  excessivehunger  dryingandtinglinglips  slurredspeech  irritability  palpitations,Hypoglycemia
vomiting  fatigue  anxiety  sweating  nausea  blurredanddistortedvision  excessivehunger  dryingandtinglinglips  slurredspeech  irritability  palpitations,Hypoglycemia
vomiting  fatigue  anxiety  sweating  headache  blurredanddistortedvision  excessivehunger  dryingandtinglinglips  slurredspeech  irritability  palpitations,Hypoglycemia
vomiting  fatigue  anxiety  sweating  headache  nausea  excessivehunger  dryingandtinglinglips  slurredspeech  irritability  palpitations,Hypoglycemia
jointpain  neckpain  kneepain  hipjointpain  swellingjoints  painfulwalking,Osteoarthristis
jointpain  neckpain  kneepain  hipjointpain  swellingjoints  painfulwalking,Osteoarthristis
neckpain  kneepain  hipjointpain  swellingjoints  painfulwalking,Osteoarthristis
jointpain  kneepain  hipjointpain  swellingjoints  painfulwalking,Osteoarthristis
jointpain  neckpain  hipjointpain  swellingjoints  painfulwalking,Osteoarthristis
jointpain  neckpain  kneepain  swellingjoints  painfulwalking,Osteoarthristis
jointpain  neckpain  kneepain  hipjointpain  painfulwalking,Osteoarthristis
jointpain  neckpain  kneepain  hipjointpain  swellingjoints,Osteoarthristis
jointpain  neckpain  kneepain  hipjointpain  swellingjoints  painfulwalking,Osteoarthristis
jointpain  neckpain  kneepain  hipjointpain  swellingjoints  painfulwalking,Osteoarthristis
muscleweakness  stiffneck  swellingjoints  movementstiffness  painfulwalking,Arthritis
muscleweakness  stiffneck  swellingjoints  movementstiffness  painfulwalking,Arthritis
stiffneck  swellingjoints  movementstiffness  painfulwalking,Arthritis
muscleweakness  swellingjoints  movementstiffness  painfulwalking,Arthritis
muscleweakness  stiffneck  movementstiffness  painfulwalking,Arthritis
muscleweakness  stiffneck  swellingjoints  painfulwalking,Arthritis
muscleweakness  stiffneck  swellingjoints  movementstiffness  painfulwalking,Arthritis
muscleweakness  stiffneck  swellingjoints  movementstiffness,Arthritis
muscleweakness  stiffneck  swellingjoints  movementstiffness  painfulwalking,Arthritis
muscleweakness  stiffneck  swellingjoints  movementstiffness  painfulwalking,Arthritis
vomiting  headache  nausea  spinningmovements  lossofbalance  unsteadiness,(vertigo) Paroymsal  Positional Vertigo
vomiting  headache  nausea  spinningmovements  lossofbalance  unsteadiness,(vertigo) Paroymsal  Positional Vertigo
headache  nausea  spinningmovements  lossofbalance  unsteadiness,(vertigo) Paroymsal  Positional Vertigo
vomiting  nausea  spinningmovements  lossofbalance  unsteadiness,(vertigo) Paroymsal  Positional Vertigo
vomiting  headache  spinningmovements  lossofbalance  unsteadiness,(vertigo) Paroymsal  Positional Vertigo
vomiting  headache  nausea  lossofbalance  unsteadiness,(vertigo) Paroymsal  Positional Vertigo
vomiting  headache  nausea  spinningmovements  unsteadiness,(vertigo) Paroymsal  Positional Vertigo
vomiting  headache  nausea  spinningmovements  lossofbalance,(vertigo) Paroymsal  Positional Vertigo
vomiting  headache  nausea  spinningmovements  lossofbalance  unsteadiness,(vertigo) Paroymsal  Positional Vertigo
vomiting  headache  nausea  lossofbalance  unsteadiness,(vertigo) Paroymsal  Positional Vertigo
skinrash  pusfilledpimples  blackheads  scurring,Acne
skinrash  pusfilledpimples  blackheads  scurring,Acne
pusfilledpimples  blackheads  scurring,Acne
skinrash  blackheads  scurring,Acne
skinrash  pusfilledpimples  scurring,Acne
skinrash  pusfilledpimples  blackheads,Acne
skinrash  pusfilledpimples  blackheads  scurring,Acne
skinrash  pusfilledpimples  blackheads,Acne
skinrash  pusfilledpimples  scurring,Acne
skinrash  blackheads  scurring,Acne
burningmicturition  bladderdiscomfort  foulsmellofurine  continuousfeelofurine,Urinary tract infection
burningmicturition  bladderdiscomfort  foulsmellofurine  continuousfeelofurine,Urinary tract infection
bladderdiscomfort  foulsmellofurine  continuousfeelofurine,Urinary tract infection
burningmicturition  foulsmellofurine  continuousfeelofurine,Urinary tract infection
burningmicturition  bladderdiscomfort  continuousfeelofurine,Urinary tract infection
burningmicturition  bladderdiscomfort  foulsmellofurine,Urinary tract infection
burningmicturition  bladderdiscomfort  foulsmellofurine  continuousfeelofurine,Urinary tract infection
burningmicturition  bladderdiscomfort  continuousfeelofurine,Urinary tract infection
bladderdiscomfort  foulsmellofurine  continuousfeelofurine,Urinary tract infection
burningmicturition  bladderdiscomfort  continuousfeelofurine,Urinary tract infection
skinrash  jointpain  skinpeeling  silverlikedusting  smalldentsinnails  inflammatorynails,Psoriasis
skinrash  jointpain  skinpeeling  silverlikedusting  smalldentsinnails  inflammatorynails,Psoriasis
jointpain  skinpeeling  silverlikedusting  smalldentsinnails  inflammatorynails,Psoriasis
skinrash  skinpeeling  silverlikedusting  smalldentsinnails  inflammatorynails,Psoriasis
skinrash  jointpain  silverlikedusting  smalldentsinnails  inflammatorynails,Psoriasis
skinrash  jointpain  skinpeeling  smalldentsinnails  inflammatorynails,Psoriasis
skinrash  jointpain  skinpeeling  silverlikedusting  inflammatorynails,Psoriasis
skinrash  jointpain  skinpeeling  silverlikedusting  smalldentsinnails,Psoriasis
skinrash  jointpain  skinpeeling  silverlikedusting  smalldentsinnails  inflammatorynails,Psoriasis
skinrash  jointpain  skinpeeling  silverlikedusting  smalldentsinnails  inflammatorynails,Psoriasis
skinrash  highfever  blister  redsorearoundnose  yellowcrustooze,Impetigo
skinrash  highfever  blister  redsorearoundnose  yellowcrustooze,Impetigo
highfever  blister  redsorearoundnose  yellowcrustooze,Impetigo
skinrash  blister  redsorearoundnose  yellowcrustooze,Impetigo
skinrash  blister  redsorearoundnose  yellowcrustooze,Impetigo
skinrash  highfever  redsorearoundnose  yellowcrustooze,Impetigo
skinrash  highfever  blister  yellowcrustooze,Impetigo
skinrash  highfever  blister  redsorearoundnose,Impetigo
skinrash  highfever  blister  redsorearoundnose  yellowcrustooze,Impetigo
skinrash  blister  redsorearoundnose  yellowcrustooze,Impetigo
itching  skinrash  nodalskineruptions  dischromicpatches,Fungal infection
skinrash  nodalskineruptions  dischromicpatches,Fungal infection
itching  nodalskineruptions  dischromicpatches,Fungal infection
itching  skinrash  dischromicpatches,Fungal infection
itching  skinrash  nodalskineruptions,Fungal infection
skinrash  nodalskineruptions  dischromicpatches,Fungal infection
itching  nodalskineruptions  dischromicpatches,Fungal infection
itching  skinrash  dischromicpatches,Fungal infection
itching  skinrash  nodalskineruptions,Fungal infection
itching  skinrash  nodalskineruptions  dischromicpatches,Fungal infection
continuoussneezing  shivering  chills  wateringfromeyes,Allergy
shivering  chills  wateringfromeyes,Allergy
continuoussneezing  chills  wateringfromeyes,Allergy
continuoussneezing  shivering  wateringfromeyes,Allergy
continuoussneezing  shivering  chills,Allergy
shivering  chills  wateringfromeyes,Allergy
continuoussneezing  chills  wateringfromeyes,Allergy
continuoussneezing  shivering  wateringfromeyes,Allergy
continuoussneezing  shivering  chills,Allergy
continuoussneezing  shivering  chills  wateringfromeyes,Allergy
stomachpain  acidity  ulcersontongue  vomiting  cough  chestpain,GERD
stomachpain  ulcersontongue  vomiting  cough  chestpain,GERD
stomachpain  acidity  vomiting  cough  chestpain,GERD
stomachpain  acidity  ulcersontongue  cough  chestpain,GERD
stomachpain  acidity  ulcersontongue  vomiting  chestpain,GERD
stomachpain  acidity  ulcersontongue  vomiting  cough,GERD
acidity  ulcersontongue  vomiting  cough  chestpain,GERD
stomachpain  ulcersontongue  vomiting  cough  chestpain,GERD
stomachpain  acidity  vomiting  cough  chestpain,GERD
stomachpain  acidity  ulcersontongue  cough  chestpain,GERD
itching  vomiting  yellowishskin  nausea  lossofappetite  abdominalpain  yellowingofeyes,Chronic cholestasis
vomiting  yellowishskin  nausea  lossofappetite  abdominalpain  yellowingofeyes,Chronic cholestasis
itching  yellowishskin  nausea  lossofappetite  abdominalpain  yellowingofeyes,Chronic cholestasis
itching  vomiting  nausea  lossofappetite  abdominalpain  yellowingofeyes,Chronic cholestasis
itching  vomiting  yellowishskin  lossofappetite  abdominalpain  yellowingofeyes,Chronic cholestasis
itching  vomiting  yellowishskin  nausea  abdominalpain  yellowingofeyes,Chronic cholestasis
itching  vomiting  yellowishskin  nausea  lossofappetite  yellowingofeyes,Chronic cholestasis
itching  vomiting  yellowishskin  nausea  lossofappetite  abdominalpain,Chronic cholestasis
itching  vomiting  yellowishskin  nausea  lossofappetite  abdominalpain  yellowingofeyes,Chronic cholestasis
itching  vomiting  yellowishskin  nausea  lossofappetite  abdominalpain  yellowingofeyes,Chronic cholestasis
itching  skinrash  stomachpain  burningmicturition  spottingurination,Drug Reaction
itching  stomachpain  burningmicturition  spottingurination,Drug Reaction
itching  skinrash  burningmicturition  spottingurination,Drug Reaction
itching  skinrash  stomachpain  spottingurination,Drug Reaction
itching  skinrash  stomachpain  burningmicturition,Drug Reaction
skinrash  stomachpain  burningmicturition  spottingurination,Drug Reaction
itching  stomachpain  burningmicturition  spottingurination,Drug Reaction
itching  skinrash  burningmicturition  spottingurination,Drug Reaction
itching  skinrash  stomachpain  spottingurination,Drug Reaction
itching  skinrash  stomachpain  burningmicturition,Drug Reaction
vomiting  lossofappetite  abdominalpain  passageofgases  internalitching,Peptic ulcer diseae
vomiting  indigestion  abdominalpain  passageofgases  internalitching,Peptic ulcer diseae
indigestion  lossofappetite  abdominalpain  passageofgases  internalitching,Peptic ulcer diseae
vomiting  lossofappetite  abdominalpain  passageofgases  internalitching,Peptic ulcer diseae
vomiting  indigestion  abdominalpain  passageofgases  internalitching,Peptic ulcer diseae
vomiting  indigestion  lossofappetite  passageofgases  internalitching,Peptic ulcer diseae
vomiting  indigestion  lossofappetite  abdominalpain  internalitching,Peptic ulcer diseae
vomiting  indigestion  lossofappetite  abdominalpain  passageofgases,Peptic ulcer diseae
vomiting  indigestion  lossofappetite  abdominalpain  passageofgases  internalitching,Peptic ulcer diseae
vomiting  indigestion  lossofappetite  abdominalpain  passageofgases  internalitching,Peptic ulcer diseae
musclewasting  patchesinthroat  highfever  extramaritalcontacts,AIDS
patchesinthroat  highfever  extramaritalcontacts,AIDS
musclewasting  highfever  extramaritalcontacts,AIDS
musclewasting  patchesinthroat  extramaritalcontacts,AIDS
musclewasting  patchesinthroat  highfever,AIDS
musclewasting  patchesinthroat  highfever  extramaritalcontacts,AIDS
musclewasting  patchesinthroat  highfever  extramaritalcontacts,AIDS
patchesinthroat  highfever  extramaritalcontacts,AIDS
musclewasting  highfever  extramaritalcontacts,AIDS
musclewasting  patchesinthroat  highfever,AIDS
fatigue  weightloss  restlessness  lethargy  irregularsugarlevel  blurredanddistortedvision  obesity  excessivehunger  increasedappetite  polyuria,Diabetes 
fatigue  weightloss  restlessness  lethargy  irregularsugarlevel  blurredanddistortedvision  obesity  excessivehunger  increasedappetite  polyuria,Diabetes 
weightloss  restlessness  lethargy  irregularsugarlevel  blurredanddistortedvision  obesity  excessivehunger  increasedappetite  polyuria,Diabetes 
fatigue  restlessness  lethargy  irregularsugarlevel  blurredanddistortedvision  obesity  excessivehunger  increasedappetite  polyuria,Diabetes 
fatigue  weightloss  lethargy  irregularsugarlevel  blurredanddistortedvision  obesity  excessivehunger  increasedappetite  polyuria,Diabetes 
fatigue  weightloss  restlessness  irregularsugarlevel  blurredanddistortedvision  obesity  excessivehunger  increasedappetite  polyuria,Diabetes 
fatigue  weightloss  restlessness  lethargy  blurredanddistortedvision  obesity  excessivehunger  increasedappetite  polyuria,Diabetes 
fatigue  weightloss  restlessness  lethargy  irregularsugarlevel  obesity  excessivehunger  increasedappetite  polyuria,Diabetes 
fatigue  weightloss  restlessness  lethargy  irregularsugarlevel  blurredanddistortedvision  excessivehunger  increasedappetite  polyuria,Diabetes 
fatigue  weightloss  restlessness  lethargy  irregularsugarlevel  blurredanddistortedvision  obesity  increasedappetite  polyuria,Diabetes 
vomiting  sunkeneyes  dehydration  diarrhoea,Gastroenteritis
vomiting  sunkeneyes  dehydration  diarrhoea,Gastroenteritis
sunkeneyes  dehydration  diarrhoea,Gastroenteritis
vomiting  dehydration  diarrhoea,Gastroenteritis
vomiting  sunkeneyes  diarrhoea,Gastroenteritis
vomiting  sunkeneyes  dehydration,Gastroenteritis
vomiting  sunkeneyes  dehydration  diarrhoea,Gastroenteritis
sunkeneyes  dehydration  diarrhoea,Gastroenteritis
vomiting  dehydration  diarrhoea,Gastroenteritis
vomiting  sunkeneyes  diarrhoea,Gastroenteritis
fatigue  cough  highfever  breathlessness  familyhistory  mucoidsputum,Bronchial Asthma
cough  highfever  breathlessness  familyhistory  mucoidsputum,Bronchial Asthma
fatigue  highfever  breathlessness  familyhistory  mucoidsputum,Bronchial Asthma
fatigue  cough  breathlessness  familyhistory  mucoidsputum,Bronchial Asthma
fatigue  cough  highfever  familyhistory  mucoidsputum,Bronchial Asthma
fatigue  cough  highfever  breathlessness  mucoidsputum,Bronchial Asthma
fatigue  cough  highfever  breathlessness  familyhistory,Bronchial Asthma
fatigue  cough  highfever  breathlessness  familyhistory  mucoidsputum,Bronchial Asthma
cough  highfever  breathlessness  familyhistory  mucoidsputum,Bronchial Asthma
fatigue  highfever  breathlessness  familyhistory  mucoidsputum,Bronchial Asthma
headache  chestpain  dizziness  lossofbalance  lackofconcentration,Hypertension 
chestpain  dizziness  lossofbalance  lackofconcentration,Hypertension 
headache  dizziness  lossofbalance  lackofconcentration,Hypertension 
headache  chestpain  lossofbalance  lackofconcentration,Hypertension 
headache  chestpain  dizziness  lackofconcentration,Hypertension 
headache  chestpain  dizziness  lossofbalance,Hypertension 
headache  chestpain  dizziness  lossofbalance  lackofconcentration,Hypertension 
chestpain  dizziness  lossofbalance  lackofconcentration,Hypertension 
headache  dizziness  lossofbalance  lackofconcentration,Hypertension 
headache  chestpain  lossofbalance  lackofconcentration,Hypertension 
acidity  indigestion  headache  blurredanddistortedvision  excessivehunger  stiffneck  depression  irritability  visualdisturbances,Migraine
indigestion  headache  blurredanddistortedvision  excessivehunger  stiffneck  depression  irritability  visualdisturbances,Migraine
acidity  headache  blurredanddistortedvision  excessivehunger  stiffneck  depression  irritability  visualdisturbances,Migraine
acidity  indigestion  blurredanddistortedvision  excessivehunger  stiffneck  depression  irritability  visualdisturbances,Migraine
acidity  indigestion  headache  excessivehunger  stiffneck  depression  irritability  visualdisturbances,Migraine
acidity  indigestion  headache  blurredanddistortedvision  stiffneck  depression  irritability  visualdisturbances,Migraine
acidity  indigestion  headache  blurredanddistortedvision  excessivehunger  depression  irritability  visualdisturbances,Migraine
acidity  indigestion  headache  blurredanddistortedvision  excessivehunger  stiffneck  irritability  visualdisturbances,Migraine
acidity  indigestion  headache  blurredanddistortedvision  excessivehunger  stiffneck  depression  visualdisturbances,Migraine
acidity  indigestion  headache  blurredanddistortedvision  excessivehunger  stiffneck  depression  irritability,Migraine
backpain  weaknessinlimbs  neckpain  dizziness  lossofbalance,Cervical spondylosis
backpain  weaknessinlimbs  neckpain  dizziness  lossofbalance,Cervical spondylosis
weaknessinlimbs  neckpain  dizziness  lossofbalance,Cervical spondylosis
backpain  neckpain  dizziness  lossofbalance,Cervical spondylosis
backpain  weaknessinlimbs  dizziness  lossofbalance,Cervical spondylosis
backpain  weaknessinlimbs  neckpain  lossofbalance,Cervical spondylosis
backpain  weaknessinlimbs  neckpain  dizziness,Cervical spondylosis
backpain  weaknessinlimbs  neckpain  dizziness  lossofbalance,Cervical spondylosis
weaknessinlimbs  neckpain  dizziness  lossofbalance,Cervical spondylosis
backpain  neckpain  dizziness  lossofbalance,Cervical spondylosis
vomiting  headache  weaknessofonebodyside  alteredsensorium,Paralysis (brain hemorrhage)
vomiting  headache  weaknessofonebodyside  alteredsensorium,Paralysis (brain hemorrhage)
headache  weaknessofonebodyside  alteredsensorium,Paralysis (brain hemorrhage)
vomiting  weaknessofonebodyside  alteredsensorium,Paralysis (brain hemorrhage)
vomiting  headache  alteredsensorium,Paralysis (brain hemorrhage)
vomiting  headache  weaknessofonebodyside,Paralysis (brain hemorrhage)
vomiting  headache  weaknessofonebodyside  alteredsensorium,Paralysis (brain hemorrhage)
headache  weaknessofonebodyside  alteredsensorium,Paralysis (brain hemorrhage)
vomiting  weaknessofonebodyside  alteredsensorium,Paralysis (brain hemorrhage)
vomiting  headache  alteredsensorium,Paralysis (brain hemorrhage)
itching  vomiting  fatigue  weightloss  highfever  yellowishskin  darkurine  abdominalpain,Jaundice
itching  vomiting  fatigue  weightloss  highfever  yellowishskin  darkurine  abdominalpain,Jaundice
vomiting  fatigue  weightloss  highfever  yellowishskin  darkurine  abdominalpain,Jaundice
itching  fatigue  weightloss  highfever  yellowishskin  darkurine  abdominalpain,Jaundice
itching  vomiting  weightloss  highfever  yellowishskin  darkurine  abdominalpain,Jaundice
itching  vomiting  fatigue  highfever  yellowishskin  darkurine  abdominalpain,Jaundice
itching  vomiting  fatigue  weightloss  yellowishskin  darkurine  abdominalpain,Jaundice
itching  vomiting  fatigue  weightloss  highfever  darkurine  abdominalpain,Jaundice
itching  vomiting  fatigue  weightloss  highfever  yellowishskin  abdominalpain,Jaundice
itching  vomiting  fatigue  weightloss  highfever  yellowishskin  darkurine,Jaundice
chills  vomiting  highfever  sweating  headache  nausea  musclepain,Malaria
chills  vomiting  highfever  sweating  headache  nausea  diarrhoea  musclepain,Malaria
chills  vomiting  highfever  sweating  headache  nausea  diarrhoea  musclepain,Malaria
vomiting  highfever  sweating  headache  nausea  diarrhoea  musclepain,Malaria
chills  highfever  sweating  headache  nausea  diarrhoea  musclepain,Malaria
chills  vomiting  sweating  headache  nausea  diarrhoea  musclepain,Malaria
chills  vomiting  highfever  headache  nausea  diarrhoea  musclepain,Malaria
chills  vomiting  highfever  sweating  nausea  diarrhoea  musclepain,Malaria
chills  vomiting  highfever  sweating  headache  diarrhoea  musclepain,Malaria
chills  vomiting  highfever  sweating  headache  nausea  musclepain,Malaria
itching  skinrash  fatigue  lethargy  highfever  headache  lossofappetite  mildfever  swelledlymphnodes  malaise  redspotsoverbody,Chicken pox
skinrash  fatigue  lethargy  highfever  headache  lossofappetite  mildfever  swelledlymphnodes  malaise  redspotsoverbody,Chicken pox
itching  fatigue  lethargy  highfever  headache  lossofappetite  mildfever  swelledlymphnodes  malaise  redspotsoverbody,Chicken pox
itching  skinrash  lethargy  highfever  headache  lossofappetite  mildfever  swelledlymphnodes  malaise  redspotsoverbody,Chicken pox
itching  skinrash  fatigue  highfever  headache  lossofappetite  mildfever  swelledlymphnodes  malaise  redspotsoverbody,Chicken pox
itching  skinrash  fatigue  lethargy  headache  lossofappetite  mildfever  swelledlymphnodes  malaise  redspotsoverbody,Chicken pox
itching  skinrash  fatigue  lethargy  highfever  lossofappetite  mildfever  swelledlymphnodes  malaise  redspotsoverbody,Chicken pox
itching  skinrash  fatigue  lethargy  highfever  headache  mildfever  swelledlymphnodes  malaise  redspotsoverbody,Chicken pox
itching  skinrash  fatigue  lethargy  highfever  headache  lossofappetite  swelledlymphnodes  malaise  redspotsoverbody,Chicken pox
itching  skinrash  fatigue  lethargy  highfever  headache  lossofappetite  mildfever  malaise  redspotsoverbody,Chicken pox
skinrash  chills  jointpain  vomiting  fatigue  highfever  headache  nausea  lossofappetite  painbehindtheeyes  backpain  musclepain  redspotsoverbody,Dengue
skinrash  chills  jointpain  vomiting  fatigue  highfever  headache  nausea  lossofappetite  painbehindtheeyes  backpain  malaise  redspotsoverbody,Dengue
skinrash  chills  jointpain  vomiting  fatigue  highfever  headache  nausea  lossofappetite  painbehindtheeyes  backpain  malaise  musclepain,Dengue
skinrash  chills  jointpain  vomiting  fatigue  highfever  headache  nausea  lossofappetite  painbehindtheeyes  backpain  malaise  musclepain  redspotsoverbody,Dengue
chills  jointpain  vomiting  fatigue  highfever  headache  nausea  lossofappetite  painbehindtheeyes  backpain  malaise  musclepain  redspotsoverbody,Dengue
skinrash  jointpain  vomiting  fatigue  highfever  headache  nausea  lossofappetite  painbehindtheeyes  backpain  malaise  musclepain  redspotsoverbody,Dengue
skinrash  chills  vomiting  fatigue  highfever  headache  nausea  lossofappetite  painbehindtheeyes  backpain  malaise  musclepain  redspotsoverbody,Dengue
skinrash  chills  jointpain  fatigue  highfever  headache  nausea  lossofappetite  painbehindtheeyes  backpain  malaise  musclepain  redspotsoverbody,Dengue
skinrash  chills  jointpain  vomiting  highfever  headache  nausea  lossofappetite  painbehindtheeyes  backpain  malaise  musclepain  redspotsoverbody,Dengue
skinrash  chills  jointpain  vomiting  fatigue  headache  nausea  lossofappetite  painbehindtheeyes  backpain  malaise  musclepain  redspotsoverbody,Dengue
chills  vomiting  fatigue  highfever  nausea  constipation  abdominalpain  diarrhoea  toxiclook(typhos)  bellypain,Typhoid
chills  vomiting  fatigue  highfever  headache  constipation  abdominalpain  diarrhoea  toxiclook(typhos)  bellypain,Typhoid
chills  vomiting  fatigue  highfever  headache  nausea  abdominalpain  diarrhoea  toxiclook(typhos)  bellypain,Typhoid
chills  vomiting  fatigue  highfever  headache  nausea  constipation  diarrhoea  toxiclook(typhos)  bellypain,Typhoid
chills  vomiting  fatigue  highfever  headache  nausea  constipation  abdominalpain  toxiclook(typhos)  bellypain,Typhoid
chills  vomiting  fatigue  highfever  headache  nausea  constipation  abdominalpain  diarrhoea  bellypain,Typhoid
chills  vomiting  fatigue  highfever  headache  nausea  constipation  abdominalpain  diarrhoea  toxiclook(typhos),Typhoid
chills  vomiting  fatigue  highfever  headache  nausea  constipation  abdominalpain  diarrhoea  toxiclook(typhos)  bellypain,Typhoid
chills  vomiting  fatigue  highfever  headache  nausea  constipation  abdominalpain  diarrhoea  toxiclook(typhos)  bellypain,Typhoid
chills  fatigue  highfever  headache  nausea  constipation  abdominalpain  diarrhoea  toxiclook(typhos)  bellypain,Typhoid
jointpain  vomiting  yellowishskin  darkurine  nausea  lossofappetite  abdominalpain  diarrhoea  mildfever  yellowingofeyes  musclepain,hepatitis A
jointpain  vomiting  yellowishskin  darkurine  nausea  lossofappetite  abdominalpain  diarrhoea  mildfever  yellowingofeyes  musclepain,hepatitis A
vomiting  yellowishskin  darkurine  nausea  lossofappetite  abdominalpain  diarrhoea  mildfever  yellowingofeyes  musclepain,hepatitis A
jointpain  yellowishskin  darkurine  nausea  lossofappetite  abdominalpain  diarrhoea  mildfever  yellowingofeyes  musclepain,hepatitis A
jointpain  vomiting  darkurine  nausea  lossofappetite  abdominalpain  diarrhoea  mildfever  yellowingofeyes  musclepain,hepatitis A
jointpain  vomiting  yellowishskin  nausea  lossofappetite  abdominalpain  diarrhoea  mildfever  yellowingofeyes  musclepain,hepatitis A
jointpain  vomiting  yellowishskin  darkurine  lossofappetite  abdominalpain  diarrhoea  mildfever  yellowingofeyes  musclepain,hepatitis A
jointpain  vomiting  yellowishskin  darkurine  nausea  abdominalpain  diarrhoea  mildfever  yellowingofeyes  musclepain,hepatitis A
jointpain  vomiting  yellowishskin  darkurine  nausea  lossofappetite  diarrhoea  mildfever  yellowingofeyes  musclepain,hepatitis A
jointpain  vomiting  yellowishskin  darkurine  nausea  lossofappetite  abdominalpain  mildfever  yellowingofeyes  musclepain,hepatitis A
itching  fatigue  lethargy  yellowishskin  darkurine  lossofappetite  abdominalpain  yellowurine  yellowingofeyes  malaise  receivingbloodtransfusion  receivingunsterileinjections,Hepatitis B
itching  fatigue  lethargy  yellowishskin  darkurine  lossofappetite  abdominalpain  yellowurine  yellowingofeyes  malaise  receivingbloodtransfusion  receivingunsterileinjections,Hepatitis B
fatigue  lethargy  yellowishskin  darkurine  lossofappetite  abdominalpain  yellowurine  yellowingofeyes  malaise  receivingbloodtransfusion  receivingunsterileinjections,Hepatitis B
itching  lethargy  yellowishskin  darkurine  lossofappetite  abdominalpain  yellowurine  yellowingofeyes  malaise  receivingbloodtransfusion  receivingunsterileinjections,Hepatitis B
itching  fatigue  yellowishskin  darkurine  lossofappetite  abdominalpain  yellowurine  yellowingofeyes  malaise  receivingbloodtransfusion  receivingunsterileinjections,Hepatitis B
itching  fatigue  lethargy  darkurine  lossofappetite  abdominalpain  yellowurine  yellowingofeyes  malaise  receivingbloodtransfusion  receivingunsterileinjections,Hepatitis B
itching  fatigue  lethargy  yellowishskin  lossofappetite  abdominalpain  yellowurine  yellowingofeyes  malaise  receivingbloodtransfusion  receivingunsterileinjections,Hepatitis B
itching  fatigue  lethargy  yellowishskin  darkurine  abdominalpain  yellowurine  yellowingofeyes  malaise  receivingbloodtransfusion  receivingunsterileinjections,Hepatitis B
itching  fatigue  lethargy  yellowishskin  darkurine  lossofappetite  yellowurine  yellowingofeyes  malaise  receivingbloodtransfusion  receivingunsterileinjections,Hepatitis B
itching  fatigue  lethargy  yellowishskin  darkurine  lossofappetite  abdominalpain  yellowingofeyes  malaise  receivingbloodtransfusion  receivingunsterileinjections,Hepatitis B
fatigue  yellowishskin  nausea  lossofappetite  familyhistory,Hepatitis C
fatigue  yellowishskin  nausea  lossofappetite  yellowingofeyes  familyhistory,Hepatitis C
yellowishskin  nausea  lossofappetite  yellowingofeyes  familyhistory,Hepatitis C
fatigue  nausea  lossofappetite  yellowingofeyes  familyhistory,Hepatitis C
fatigue  yellowishskin  lossofappetite  yellowingofeyes  familyhistory,Hepatitis C
fatigue  yellowishskin  nausea  yellowingofeyes  familyhistory,Hepatitis C
fatigue  yellowishskin  nausea  lossofappetite  familyhistory,Hepatitis C
fatigue  yellowishskin  nausea  lossofappetite  yellowingofeyes,Hepatitis C
fatigue  yellowishskin  nausea  lossofappetite  yellowingofeyes  familyhistory,Hepatitis C
